# English-Italian dictionary created from Wikipedia database
# Created on: 2011-04-01T04:13:14+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
0 (number)	Zero
1	1
1 (number)	1 (numero)
10	10
10 (number)	10 (numero)
100	100
100 (number)	100 (numero)
1000	1000
1000 (number)	1000 (numero)
101	101
105	105
11	11
11 (number)	11 (numero)
110	110
115	115
12	12
12 (number)	12 (numero)
120	120
125	125
13	13
13 (number)	13 (numero)
130	130
135	135
14	14
14 (number)	14 (numero)
140	140
144	144
145	145
15	15
15 (number)	15 (numero)
150	150
1530s	Anni 1530
155	155
16	16
16 (number)	16 (numero)
160	160
165	165
17	17
17 (number)	17 (numero)
170	170
1728	1728
175	175
1750s	Anni 1750
1760s	Anni 1760
1770s	Anni 1770
1780s	Anni 1780
1790s	Anni 1790
18	18
18 (number)	18 (numero)
180	180
1820s	Anni 1820
1830s	Anni 1830
1840s	Anni 1840
1850s	Anni 1850
1860s	Anni 1860
1870s	Anni 1870
1880s	Anni 1880
1890s	Anni 1890
19	19
19 (number)	19 (numero)
190	190
1900s	Anni 1900
1920s	Anni 1920
1930s	Anni 1930
1940s	Anni 1940
1950s	Anni 1950
1960s	Anni 1960
1970s	Anni 1970
1980s	Anni 1980
1990s	Anni 1990
2	2
2 (number)	2 (numero)
20	20
20 (number)	20 (numero)
200	200
21	21
21 (number)	21 (numero)
22	22
22 (number)	22 (numero)
23	23
23 (number)	23 (numero)
24	24
24 (TV series)	24 (serial televisivo)
24 (number)	24 (numero)
25	25
25 (number)	25 (numero)
26	26
26 (number)	26 (numero)
27	27
27 (number)	27 (numero)
28	28
28 (number)	28 (numero)
29	29
29 (number)	29 (numero)
3	3
3 (number)	3 (numero)
30	30
30 (number)	30 (numero)
300	300
31	31
31 (number)	31 (numero)
32	32
32 (number)	32 (numero)
33	33
33 (number)	33 (numero)
34	34
34 (number)	34 (numero)
35	35
35 (number)	35 (numero)
36	36
36 (number)	36 (numero)
37	37
37 (number)	37 (numero)
38	38
38 (number)	38 (numero)
39	39
39 (number)	39 (numero)
4	4
4 (number)	4 (numero)
40	40
40 (number)	40 (numero)
400	400
41	41
41 (number)	41 (numero)
42	42
42 (number)	42 (numero)
43	43
43 (number)	43 (numero)
44	44
45	45
45 (number)	45 (numero)
46	46
46 (number)	46 (numero)
47	47
48	48
49	49
49 (number)	49 (numero)
5	5
5 (number)	5 (numero)
50	50
50 (number)	50 (numero)
500	500
51	51
52	52
53	53
54	54
55	55
56	56
57	57
58	58
59	59
6	6
6 (number)	6 (numero)
60	60
60 (number)	60 (numero)
61	61
62	62
63	63
64	64
65	65
66	66
67	67
68	68
69	69
7	7
7 (number)	7 (numero)
70	70
71	71
72	72
73	73
74	74
75	75
76	76
77	77
78	78
79	79
8	8
8 (number)	8 (numero)
80	80
80 (number)	80 (numero)
81	81
82	82
83	83
84	84
85	85
86	86
87	87
88	88
89	89
9	9
9 (number)	9 (numero)
90	90
91	91
92	92
93	93
94	94
95	95
96	96
97	97
98	98
99	99
A	A
A (Cyrillic)	А (Cirillico)
A cappella	A cappella
ABC	ABC
AIDS	AIDS
ALGOL	ALGOL
ATP	ATP
AZ (football club)	AZ Alkmaar
Aachen	Aquisgrana
Aalborg	Aalborg
Aar	Aar (fiume)
Aardvark	Orycteropus afer
Aarhus	Århus
Aaron	Aronne
Abacus	Abaco
Abadan	Abadan
Abbot	Abate
Abbreviation	Abbreviazione
Abdomen	Addome
Abel Tasman	Abel Tasman
Abelian group	Gruppo abeliano
Aberdeen	Aberdeen
Abidjan	Abidjan
Abkhazia	Abkhazia
Abkhazia	Categoria:Abkhazia
Abolitionism	Abolizionismo
Abortion	Aborto
Abraham	Abramo (patriarca)
Abraham Lincoln	Abraham Lincoln
Absinthe	Assenzio
Absolute magnitude	Magnitudine assoluta
Absolute value	Valore assoluto
Absolute zero	Zero assoluto
Absolutism (European history)	Assolutismo monarchico
Abstract art	Astrattismo
Abstract expressionism	Espressionismo astratto
Abstraction	Astrazione
Abu Dhabi	Abu Dhabi
Abu Dhabi (emirate)	Abu Dhabi (emirato)
Abuja	Abuja
Acacia	Acacia
Academy Award	Premio Oscar
Acapulco	Acapulco
Acceleration	Accelerazione
Accipitridae	Accipitridae
Accordion	Fisarmonica
Accountancy	Contabilità
Accountancy	Categoria:Ragioneria
Accra	Accra
Accusative case	Accusativo
Acetaldehyde	Acetaldeide
Acetic acid	Acido acetico
Acetone	Acetone
Acetylcholine	Acetilcolina
Acetylene	Acetilene
Acheron	Acheronte
Achillea millefolium	Achillea millefolium
Achilles	Achille
Acid	Acido
Acid rain	Pioggia acida
Acne vulgaris	Acne
Aconcagua	Aconcagua
Acorn	Ghianda
Acoustics	Acustica
Acoustics	Categoria:Acustica
Acre	Acro
Acre	San Giovanni d'Acri
Acre (state)	Acre
Acropolis	Acropoli
Actinide	Attinoidi
Actinium	Attinio
Actor	Attore
Acts of the Apostles	Atti degli Apostoli
Acupuncture	Agopuntura
Ad hominem	Argumentum ad hominem
Ada (programming language)	Ada (linguaggio)
Adam	Adamo
Adam Smith	Adam Smith
Adana	Adana
Adansonia	Adansonia
Addiction	Dipendenza
Addis Ababa	Addis Abeba
Addition	Addizione
Adelaide	Adelaide (Australia)
Aden	Aden
Adenine	Adenina
Adenosine triphosphate	Adenosintrifosfato
Adiabatic process	Trasformazione adiabatica
Adige	Adige
Adjective	Aggettivo
Admiral	Ammiraglio
Adolescence	Adolescenza
Adolf Eichmann	Adolf Eichmann
