-ible	-аемый
-ism	-изм
-logy	-логия
A-bomb	атомная бомба
AIDS	СПИД
ASAP	как можно скорее
Aachen	Aaxeн
Aaron	Аарон
Abel	Авель
Abidjan	Абиджан
Abkhaz	абхазский
Abkhazian	абхазский
Abraham	Авраам
Abraham	Аврам
Abram	Авраам
Abu Dhabi	Абу-Даби
Achilles	Ахилл
Achilles heel	Ахиллесова пята
Acropolis	(Akropol')
Adam	Адам
Adam and Eve	Адам и Ева
Adam's apple	кадык
Addis Ababa	Аддис-Абеба
Adelaide	Аделаида
Aden	Аден
Adrian	Адриан
Adriatic Sea	Адриатическое море
Aegean Sea	Эгейское море
Aeschylus	Эсхил
Afghan	афганец
Afghan	афганский
Afghanistan	Афганистан
Africa	Африка
Afrikaans	африкаанс
Agatha	Агафия (Agaphija)
Ainu	айнский
Alaska	Аляска
Albania	Албания
Albanian	албанский
Albanian	албанец
Albert	Альберт
Alexander	Александр
Alexander the Great	Александр Македонский
Alfred	Альфред (Al'fred)
Algeria	Алжир
Algiers	Алжир
Alice	Алиса
Allah	Аллах
Alphonse	Альфонс (Al'fons)
Alps	Альпы
America	Америка
American	американец
American	американский
American Samoa	Восточное Самоа
American bison	бизон
Amharic	амхарский
Amsterdam	Амстердам
Andalusia	Андалусия
Andorra	Андорра
Andrew	Андрей
Angola	Ангола
Ankara	Анкара
Ann	Анна (Anna)
Anno Domini	после
Antarctica	Антарктида
Antigua and Barbuda	Антигуа и Барбуда
Antwerp	Антверпен
April	апрель
Aquarius	Водолей
Arab	араб
Arab	арабский
Arabic	арабский
Arctic Ocean	Северный Ледовитый океан
Ares	Марс
Argentina	Аргентина
Aries	Овен
Arkhangelsk	Архангельск
Armageddon	Армагеддон
Armenia	Армения
Armenian	армянский
Armenian	армянин
Armenian SSR	Армянская ССР
Arthur	Артур
Aruba	Аруба
Asia	Азия
Athena	Афина
Athens	Афины
Atlantic Ocean	Атлантический океан
Atlantis	Атлантида
August	август
Australia	Австралия
Australian	австралиец
Australian	австралийский
Austria	Австрия
Austrian	австриец
Austrian	австрийский
Ayers Rock	Айерс-Рок
Aymara	аймара
Azerbaijan	Азербайджан
Azerbaijan SSR	Азербайджанская ССР
Azeri	азербайджанский
Azeri	азербайджанец
BC	до Р. Хр.
Bactria	Бактрия
Baghdad	Багдад
Bahamas	Багамы
Bahrain	Бахрейн
Balearic Islands	Балеарские острова
Bali	Бали
Baltic Sea	Балтийское море
Bangkok	Бангкок
Bangladesh	Бангладеш
Barbados	Барбадос
Barbara	Варвара
Basque	баскский язык
Basque	баск
Basque	баскский
Bavaria	Бавария
Beijing	Пекин
Beirut	Бейрут
Belarus	Беларусь
Belarusian	белорусский
Belarusian	белорус
Belgium	Бельгия
Belgrade	Белград
Belize	Белиз
Belorussian	белорусский
Bengali	бенгальский
Benin	Бенин
Bering Sea	Берингово море
Berlin	Берлин
Bermuda	Бермуды
Bethlehem	Вифлеем
Bhutan	Бутан
Bible	библия
Black Death	чёрная смерть
Black Sea	Чёрное море
Bogota	Богота
Bohemia	Богемия
Bolivia	Боливия
Bosnia	Босния
Bosnia and Herzegovina	Босния и Герцеговина
Bosphorus	Босфор
Botswana	Ботсвана
Brasil	Бразилия
Bratislava	Братислава
Brazil	Бразилия
Breton	бретонский
Breton	бретонец
British	британец
Bronze Age	Бронзовый век
Brunei	Бруней Дарассалам
Brussels	Брюссель
Bucharest	Бухарест
Budapest	Будапешт
Buddha	Будда
Buddhism	будизм
Bulgaria	Болгария
Bulgarian	болгарский
Bulgarian	болгарин
Burgundy	Бургундия
Burkina Faso	Буркина-Фасо
Burma	Бирма
Burundi	Бурунди
Byelorussian SSR	Белорусская ССР
Byzantine Empire	Византийская империя
CIS	СНГ
Caaba	Кааба
Cairo	Каир
California	Калифорния
Cambodia	Камбоджа
Cameroon	Камерун
Canada	Канада
Canada goose	Канадская казарка
Canadian	канадец
Canadian	канадский
Cancer	Рак
Cape Town	Кейптаун
Cape Verde	Кабо-Верде
Cape of Good Hope	Мыс Доброй Надежды
Caspian Sea	Каспийское море
Catalan	каталонский
Catalan	каталонец
Catalonia	Каталония
Caucasus	Кавказ
Celt	кельт
Celtic	кельтский
Central African Republic	Центрально-африканская Республика
Central Europe	Центральная Европа
Chad	Чад
Chechen	чеченский
Cheddar cheese	Чеддер
Chennai	Ченнаи
Chile	Чили
China	Китай
Chinese	китайский язык
Chinese	китайский
Chinese	китаец
Chinese	китайцы
Chinese	мандаринский диалект
Christ	Христос
Christian	христианин
Christian	христианский
Christianity	христианство
Christmas	Рождество
Christmas tree	новогодняя ёлка
Christopher	Христофор
Cinderella	Зoлушкa
Cleopatra	Клеопатра
Coca-Cola	Кока-кола
Cologne	Кёльн
Colombia	Колумбия
Colossus of Rhodes	Колосс Родосский
Columbia	Колумбия
Common Slavonic	праславянский язык
Commonwealth of Independent States	Содружество Независимых Государств
Comoros	Коморские острова
Congo	Конго
Constantinople	Константинополь
Cook Islands	Кука острова
Copenhagen	Копенгаген
Cornish	Корнуэльский
Costa Rica	Коста-Рика
Crimean Tatar	крымскотатарский
Croatia	Хорватия
Croatian	хорватский
Crusade	крестовый поход
Cuba	Куба
Cupid	Купидон
Cyprus	Кипр
Cyrillic	кириллица
Czech	чешский
Czech Republic	Чешская Республика
Czechia	Чехия
DNA	ДНК
Damascus	Дамаск
Daniel	Даниил
Danish	датский
Danube	Дунай
Darius	Дарий
David	Давид
Dead Sea	Мёртвое море
December	декабрь
Democritus	Демокрит
Denmark	Дания
Dervish	дервиш
Djibouti	Джибути
Dominica	Доминика
Dominican Republic	Доминиканская Республика
Dublin	Дублин
Dubrovnik	Дубровник
Dutch	голландский
Dutch	голландец
EU	Европейский
Earth	Земля
East Timor	Восточный Тимор
Easter	Пасха
Easter Island	остров Пасхи
Easter egg	Пасхальное яйцо
Eastern Europe	Восточная Европа
Ecuador	Эквадор
Edinburgh	Эдинбург
Egypt	Египет
Egyptian	египтянин
Egyptian	египетский
El Salvador	Сальвадор
Elizabeth	Елизавета
England	Англия
English	английский
English	англичанин
Englishman	англичанин
Epirus	Эпир
Equatorial Guinea	Экваториальная Гвинея
Eric	Эрич
Eritrea	Эритрия
Esau	Исав
Esperanto	эсперанто
Estonia	Эстония
Estonian	эстонский
Ethiopia	Эфиопия
Euclidean geometry	евклидова геометрия
Europe	Европа
European Central Bank	Европейский центральный банк
European Union	Европейский союз
European bison	зубр
Eve	Ева
Falkland Islands	Фолклендские острова
Faroe Islands	Фарерские острова
Faroese	фарерский
February	февраль
Ferris wheel	колесо обозрения
Fez	Фес
Fiji	Фиджи
Finland	Финляндия
Finn	финн
Finnish	финский
Flanders	Фландрия
Flemish	фламандский
Fomalhaut	Фомальгаут
France	Франция
French	французский
French	французы
French Guiana	Французская Гвиана
Friday	пятница
GDP	ВНП
Gabon	Габон
Galicia	Галиция
Gambia	Гамбия
Ganges	Ганг
Gemini	Близнецы
Genesis	Книга Бытие
Geneva	Женева
Genoa	Генуя
George	Юрий
Georgetown	Джорджтаун
Georgia	Грузия
Georgian	грузинский
Georgian	грузин
German	немецкий
German	немец
Germany	Германия
Ghana	Гана
Gibraltar	Гибралтар
Glasgow	Глазго
Gnosticism	гностицизм
God	бог
Goddess	богиня
Golden Gate Bridge	Золотые Ворота
Good Friday	страстная пятница
Great Britain	Великобритания
Great Pyramid of Giza	пирамида Хеопса
Greece	Греция
Greek	греческий
Greek	грек
Greenland	Гренландия
Greenlandic	гренландский язык
Grenada	Гренада
Guadeloupe	Гваделупа
Guam	Гуам
Guatemala	Гватемала
Guernsey	Гернси
Guinea	Гвинея
Guinea-Bissau	Гвинея-Бисау
Gujarati	Гуярати
Gulf of Bothnia	Ботнический залив
Gulf of Finland	Финский залив
Gulf of Riga	Рижский залив
Guyana	Гайана
Gypsy	цыган
Haapsalu	Хаапсалу
Habakkuk	Аввакум
Haiti	Гаити
Hanukkah	Ханука
Happy New Year	С Новым годом
Havana	Гавана
Hawaii	Гавайи
Hebrew	иврит
Hebrew	еврейский
Hebrew	еврей
Hegira	геджра
Helen	Елена
Helsinki	Хельсинки
Henry	Genrikh
Hezbollah	хесболлах
Hijra	геджра
Hindi	хинди
Hinduism	индуизм
Holland	Голландия
Holy Ghost	Святой Дух
Holy Grail	Святой Грааль
Honduras	Гондурас
How old are you?	сколько вам лет
Hubble constant	закон Хаббла
Hungarian	венгерский язык
Hungarian	венгерец
Hungarian	венгерский
Hungarian notation	венгерская нотация
Hungary	Венгрия
I	я
I don't know	не знаю
I don't understand	не понимаю
I love you	Я вaс люблю
I think so	я так думаю
I'm fine, thank you	спасибо, хорошо
I'm in love with you	Я полюбил тебя
Iceland	Исландия
India	Индия
Indian Ocean	Индийский океан
Indonesia	Индонезия
Interlingua	интерлингва
