# English-Russian dictionary created from OmegaWiki database
# Created on: 2011-04-05T22:49:33+02:00
# Licence: GNU Free Documentation Licence http://www.gnu.org/copyleft/fdl.html
# Download updated version of this file at: http://www.dicts.info/uddl.php
# Contact us at: http://www.dicts.info/contact.php
9 ; nine	девять ; девять
AIDS	СПИД
AOX value	показатель абсорбции органических галогенов
ASEAN ; Association of Southeast Asian Nations	АСЕАН
Abidjan	Абиджан
Abkhaz ; Abkhazian ; Abkhazian	абхазский
Abkhazia	Абхазия
Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln ; Abraham Lincoln	Авраам Линкольн
Abuja	Абуджа
Adelaide	Аделаида
Aegean Sea	Эгейское море
Afghanistan ; Transitional Islamic State of Afghanistan	Афганистан
Africa	Африка
Afrikaans	африкаанс
Albania ; Republic of Albania	Албания
Algeria ; People's Democratic Republic of Algeria	Алжир ; Алжжирская Народная Демократическая Республика ; Алжирская Народная Демократическая Республика
American Samoa	Американское Самоа
American football ; American football	американский футбол
Americas	Америка
Ames test	тест Эймса
Amsterdam	Амстердам
Andorra ; Principality of Andorra	Андорра
Angola ; Republic of Angola	Ангола
Anguilla	Ангилья
Antarctic Ocean ; Southern Ocean	Антарктический (Южный) океан ; Антарктический океан ; Южный океан
Antarctic ecosystem	экосистема Антарктики
Antarctica	Антарктика
Antigua and Barbuda	Антигуа и Барбуда
April	апрель
Apus	Райская Птица
Aquarius	Водолей
Aquila	Орёл
Arabic ; Standard Arabic	арабский
Aragonese ; Aragonese	арагонский
Arctic Ocean	Северный Ледовитый океан
Arctic ecosystem	экосистема Арктики
Argentina ; Argentine Republic	Аргентина
Aries	Овен
Arizona	Аризона
Armenia	Армения
Armenian	армянский
Articulata	членистые
Aruba	Аруба
Asia	Азия
Assamese ; Assamese	ассамский
Astur-Leonese ; Asturian ; Asturian-Leonese ; Astur	астурийский ; астурлеонский
Athens	Афины
Atlantic Ocean	Атлантический океан
August	август
Australia ; Commonwealth of Australia	Австралия
Austria ; Republic of Austria	Австрия
Austria-Hungary ; Austro-Hungarian Empire	Австро-Венгрия
Azerbaijan ; Republic of Azerbaijan	Азербайджан
Azerbaijani ; Azeri ; Azerbaijani Cluster	азербайджанский
BBS ; bulletin board system	электронная доска объявлений
Bahamas ; Commonwealth of the Bahamas ; Bahama Islands	Багамы
Bahrain	Бахрейн
Balearic Islands	Балеарские острова
Bangladesh ; People's Republic of Bangladesh	Бангладеш
Barbados	Барбадос
Basque ; Basque	баскский
Bavaria	Бавария
Beijing	Пекин
Belarus ; Republic of Belarus	Беларусь ; Белоруссия
Belarusan ; Belarusan ; Belarusian ; Belorussian ; Byelorussian	белорусский
Belgium ; Kingdom of Belgium	Бельгия
