0 (number)	0 (число)
1	1 год
1 (number)	1 (число)
10	10 год
10 (number)	10 (число)
100	100 год
100	Категория:100 год
100 (number)	100 (число)
1000	1000 год
1000	Категория:1000 год
1000 (number)	Тысяча
101	101 год
105	105 год
11	11 год
11 (number)	11 (число)
110	110 год
115	115 год
12	12 год
12	Категория:12 год
12 (number)	12 (число)
120	120 год
125	125 год
13	13 год
13 (number)	13 (число)
130	130 год
135	135 год
14	14 год
14	Категория:14 год
14 (number)	14 (число)
140	140 год
144	144 год
145	145 год
15	15 год
15 (number)	15 (число)
150	150 год
1530s	1530-е
155	155 год
16	16 год
16	Категория:16 год
16 (number)	16 (число)
160	160 год
165	165 год
17	17 год
17	Категория:17 год
17 (number)	17 (число)
170	170 год
1728	1728 год
1728	Категория:1728 год
175	175 год
1750s	1750-е
1750s	Категория:1750-е
1760s	1760-е
1760s	Категория:1760-е
1770s	1770-е
1770s	Категория:1770-е
1780s	1780-е
1780s	Категория:1780-е
1790s	1790-е
1790s	Категория:1790-е
18	18 год
18 (number)	18 (число)
180	180 год
1820s	1820-е
1820s	Категория:1820-е
1830s	1830-е
1830s	Категория:1830-е
1840s	1840-е
1840s	Категория:1840-е
1850s	1850-е
1860s	1860-е
1860s	Категория:1860-е
1870s	1870-е
1870s	Категория:1870-е
1880s	1880-е
1880s	Категория:1880-е
1890s	1890-е
1890s	Категория:1890-е
19	19 год
19 (number)	19 (число)
190	190 год
1900s	1900-е
1900s	Категория:1900-е
1920s	1920-е
1920s	Категория:1920-е
1930s	1930-е
1930s	Категория:1930-е
1940s	1940-е
1940s	Категория:1940-е
1950s	1950-е
1950s	Категория:1950-е
1960s	1960-е
1960s	Категория:1960-е
1970s	1970-е
1970s	Категория:1970-е
1980s	1980-е
1980s	Категория:1980-е
1990s	1990-е
1990s	Категория:1990-е
2	2 год
2 (number)	2 (число)
20	20 год
20 (number)	20 (число)
200	200 год
21	21 год
21 (number)	21 (число)
22	22 год
22 (number)	22 (число)
23	23 год
23 (number)	23 (число)
24	24 год
24 (number)	24 (число)
25	25 год
25 (number)	25 (число)
26	26 год
26 (number)	26 (число)
27	27 год
27 (number)	27 (число)
28	28 год
28 (number)	28 (число)
29	29 год
29 (number)	29 (число)
3	3 год
3 (number)	3 (число)
30	30 год
30 (number)	30 (число)
300	300 год
31	31 год
31 (number)	31 (число)
32	32 год
32 (number)	32 (число)
33	33 год
33 (number)	33 (число)
34	34 год
34 (number)	34 (число)
35	35 год
35 (number)	35 (число)
36	36 год
36 (number)	36 (число)
37	37 год
37 (number)	37 (число)
38	38 год
38 (number)	38 (число)
39	39 год
39 (number)	39 (число)
4	4 год
4 (number)	4 (число)
40	40 год
40 (number)	40 (число)
400	400 год
41	41 год
41 (number)	41 (число)
42	42 год
42 (number)	42 (число)
43	43 год
43 (number)	43 (число)
44	44 год
45	45 год
45 (number)	45 (число)
46	46 год
46 (number)	46 (число)
47	47 год
48	48 год
49	49 год
49 (number)	49 (число)
5	5 год
5 (number)	5 (число)
50	50 год
50 (number)	50 (число)
500	500 год
500	Категория:500 год
51	51 год
52	52 год
53	53 год
54	54 год
55	55 год
56	56 год
57	57 год
58	58 год
59	59 год
6	6 год
6 (number)	6 (число)
60	60 год
60 (number)	60 (число)
61	61 год
62	62 год
63	63 год
64	64 год
65	65 год
66	66 год
67	67 год
68	68 год
69	69 год
7	7 год
7 (number)	7 (число)
70	70 год
71	71 год
72	72 год
73	73 год
74	74 год
75	75 год
76	76 год
77	77 год
78	78 год
79	79 год
8	8 год
8 (number)	8 (число)
80	80 год
80 (number)	80 (число)
81	81 год
82	82 год
83	83 год
84	84 год
85	85 год
86	86 год
87	87 год
88	88 год
89	89 год
9	9 год
9 (number)	9 (число)
90	90 год
91	91 год
92	92 год
93	93 год
94	94 год
95	95 год
96	96 год
97	97 год
98	98 год
99	99 год
A	A (латиница)
A (Cyrillic)	А (кириллица)
A cappella	А капелла
ABC	ABC
AIDS	Синдром приобретённого иммунного дефицита
ALGOL	Алгол
AZ (football club)	АЗ (футбольный клуб)
Aachen	Ахен
Aalborg	Ольборг
Aar	Ааре
Aardvark	Трубкозуб
Aarhus	Орхус
Aaron	Аарон
Abacus	Абак (математика)
Abadan	Абадан
Abbot	Аббат
Abbreviation	Аббревиатура
Abdomen	Брюшко
Abel Tasman	Тасман, Абел Янезон
Abelian group	Абелева группа
Aberdeen	Абердин
Abidjan	Абиджан
Abkhazia	Абхазия
Abkhazia	Категория:Абхазия
Abolitionism	Аболиционизм
Abortion	Искусственный аборт
Abraham	Авраам
Abraham Lincoln	Линкольн, Авраам
Absinthe	Абсент
Absolute magnitude	Абсолютная звёздная величина
Absolute value	Абсолютная величина
Absolute zero	Абсолютный нуль температуры
Absolutism (European history)	Абсолютизм
Abstract art	Абстракционизм
Abstract expressionism	Абстрактный экспрессионизм
Abstraction	Абстракция
Abu Dhabi	Абу-Даби
Abu Dhabi (emirate)	Абу-Даби (эмират)
Abuja	Абуджа
Acacia	Акация
Academy Award	Оскар (премия)
Acapulco	Акапулько
Acceleration	Ускорение
Accipitridae	Ястребиные
Accordion	Аккордеон
Accountancy	Бухгалтерский учёт
Accountancy	Категория:Бухгалтерский учёт
Accra	Аккра
Accusative case	Винительный падеж
Acetaldehyde	Ацетальдегид
Acetic acid	Уксусная кислота
Acetone	Диметилкетон
Acetylcholine	Ацетилхолин
Acetylene	Ацетилен
Acheron	Ахерон
Achillea millefolium	Тысячелистник обыкновенный
Achilles	Ахилл
Acid	Кислота
Acid rain	Кислотный дождь
Acne vulgaris	Акне
Aconcagua	Аконкагуа
Acorn	Жёлудь
