-ible	-ibile
-ism	-ismo
-ity	-ità
-logy	-logia
AIDS	AIDS
ASAP	al piu' presto
Aachen	Aquisgrana
Aaron	Aronne
Abel	Abele
Abidjan	Abidjan
Abkhaz	abcaso
Abkhazian	abcaso
Abraham	Abramo
Abram	Abramo
Abu Dhabi	Abu Dhabi
Achilles	Achille
Achilles' tendon	tendine di Achille
Acropolis	Acropoli
Adam	Adamo
Adam's apple	pomo d'Adamo
Addis Ababa	Addis Ababa
Adelaide	Adelaide
Aden	Aden
Adolf	Adolfo
Adolph	Adolfo
Adrian	Adriano
Adriatic Sea	Mare Adriatico
Aegean Sea	Mar Egeo
Aeschylus	Eschilo
Afghanistan	Afghanistan
Africa	l’it
African	africano
Afrikaans	afrikaans
Agatha	Agata
Agnes	Agnese
Ainu	lingua ainu
Al-Andalus	Al-Andalus
Alan	Alano
Alaska	Alaska
Alban	Albano
Albania	Albania
Albert	Alberto
Albin	Albino
Alexander	Alessandro
Alexander the Great	Alessandro Magno
Alfred	Alfredo
Algeria	Algeria
Algiers	Algeri
Alice	Alice
Alphonse	Alfonso
Alps	Alpi
America	America
American	americano
American Samoa	Samoa americane
American bison	bisonte americano
Amharic	amarico
Amsterdam	Amsterdam
Andorra	Andorra
Andrew	Andrea
Angola	Angola
Ankara	Ankara
Ann	Anna
Antarctica	Antartide
Anthony	Antonio
Antigua and Barbuda	Antigua e Barbuda
Apocalypse	apocalisse
April	aprile
Apuleius	Apuleio
Aquarius	Acquario
Arab	arabo
Arabic	arabo
Ares	Ares
Argentina	Argentina
Argentinian	argentino
Aries	Ariete
Armageddon	Armaghedòn
Armenia	Armenia
Armenian	armeno
Armenian SSR	RSS Armena
Arthur	Arturo
Aruba	Aruba
Athena	Atena
Athens	Atene
August	agosto
Augustus	Augusto
Australia	Australia
Azerbaijan	Azerbaigian
Azeri	azerbaigiano
BC	a. C.
Bactria	Battria
Baghdad	Bagdad
Bahamas	Bahama
Bahrain	Bahrain, Bahrein
Balearic Islands	Isole Baleari
Baltic Sea	Mar Baltico
Bangladesh	Bangladesh
Barbados	Barbados ''f sing''
Basque	basco
Bavaria	Baviera
Beijing	Pechino
Beirut	Beirut
Belarus	Bielorussia
Belarusian	bielorusso
Belgian	belga
Belgium	Belgio
Belgrade	Belgrado
Belize	Belize
Belorussian	bielorusso
Benin	Benin
Bering Sea	Mar di Bering
Berlin	Berlino
Bermuda	Bermuda
Bethlehem	Betlemme
Bhutan	Bhutan
Bible	Bibbia
Black Death	peste nera
Black Sea	Mar Nero
Bohemia	Boemia
Bolivia	Bolivia
Bologna	Bologna
Bosnia	Bosnia
Bosnia and Herzegovina	Bosnia-Erzegovina
Bosphorus	Bosforo
Botswana	Botswana
Brasil	Brasile
Brazil	Brasile
Brazilian	brasiliano
Breton	Bretone
Brittany	Bretagna
Bronze Age	Età del bronzo
Brunei	Brunei
Brussels	Bruxelles
Bucharest	Bucarest
Bulgaria	Bulgaria
Bulgarian	bulgaro
Burgundy	Borgogna
Burkina Faso	Burkina Faso
Burma	Birmania
Burundi	Burundi
Byzantine Empire	Impero bizantino
Caaba	Ka'ba
Cairo	il Cairo
California	California
Cambodia	Cambogia
Camelus dromedarius	cammello
Cameroon	Camerun
Canada	Canada
Canada goose	oca del Canada
Canadian	canadese
Cancer	Cancro
Cape Town	Città del Capo
Cape Verde	Capo Verde
Cape of Good Hope	Capo di Buona Speranza
Care Bears	Gli Orsetti del Cuore
Catalan	catalano
Catalonia	Catalogna
Catherine	Caterina
Caucasus	Caucaso
Celtic	celtico
Central African Republic	Repubblica Centrafricana
Central Europe	Europa centrale
Chad	Ciad
Charles	Carlo
Chechen	ceceno
Cheddar cheese	Formaggio Cheddar
Chile	Cile
China	Cina
Chinese	cinese
Chinese	i cinesi
Chinese	cibo cinese
Christ	Cristo
Christian	cristiano
Christianity	cristianità
Christmas	Natale
Christmas Eve	Vigilia
Christmas tree	albero di Natale
Christopher	Cristoforo
Cinderella	Cenerentola
Coca-Cola	Coca-Cola
Cologne	Colonia
Colombia	Colombia
Columbia	Colombia
Comoros	Comore
Congo	Congo
Constantine	Costantino
Constantinople	Costantinopoli
Cook Islands	Isole Cook
Copenhagen	Copenhagen
Cornish	Cornovagliese
Costa Rica	Costa Rica
Crete	Creta
Crimean Tatar	tataro di Crimea
Croatia	Croazia
Croatian	croato
Cuba	Cuba
Cupid	Amore
Cyprus	Cipro
Cyrillic	cirillico
Czech	ceco
Czech Republic	la repubblica Ceca
Czechia	Cechia
DNA	ADN
Damascus	Damasco
Dane	danese
Daniel	Daniele
Danish	danese
Danube	Danubio
Darius	Dario
David	Davide
Dead Sea	Mar Morto
December	dicembre
Democritus	Democrito
Denmark	Danimarca
Dervish	derviscio
Djibouti	Gibuti
Dominica	Dominica
Dominican Republic	Repubblica dominicana
Doric	dorico
Dublin	Dublino
Dubrovnik	Ragusa
Dutch	nederlandese
EU	Unione
Earth	la Terra
East Timor	Timor Est
Easter	Pasqua
Easter Island	Isola di Pasqua
Easter egg	uovo di Pasqua
Eastern Europe	Europa orientale
Ecuador	Ecuador
Edinburgh	Edimburgo
Edward	Edoardo
Egypt	Egitto
Egyptian	egiziano
El Salvador	El Salvador
Elizabeth	Elisabetta
Emily	Emilia
England	Inghilterra
English	inglese
Englishman	inglese
Epirus	Epiro
Equatorial Guinea	Guinea Equatoriale
Eric	Erico
Eritrea	Eritrea
Ernest	Ernesto
Esau	Esaù
Esperanto	esperanto
Estonia	Estonia
Ethiopia	Etiopia
Euclidean geometry	geometria euclidea
Euripides	Euripide
Europe	Europa
European	europeo
European Central Bank	Banca Centrale Europea
European Union	Unione Europea
European bison	bisonte europeo
Eve	Eva
Falkland Islands	isole Falkland
Faroe Islands	le isole Faeroer
Faroese	faraonese
February	febbraio
Fez	Fes
Fiji	Figi
Finland	Finlandia
Finnish	finlandese
Flanders	Fiandre
Flemish	Fiammingo
Fomalhaut	Fomalhaut
France	Francia
Francis	Francesco
French	francese
French	i francesi
French Guiana	Guiana francese
Friday	venerdì
Frisian	frisone
Gabon	Gabon
Galicia	Galizia
Galician	gallego
Gambia	Gambia
Ganesha	Ganesha
Ganges	Gange
Gemini	Gemelli
Geneva	Ginevra
Geneva	Canton Ginevra
Genoa	Genova
George	Giorgio
Georgia	Georgia
Georgian	georgiano
German	tedesco
Germany	Germania
Ghana	Ghana
Gibraltar	Gibilterra
Glasgow	Glasgow
Gnosticism	gnosticismo
God	Dio
Goddess	Dea
Good Friday	Venerdì Santo
Great Britain	Gran Bretagna
Great Pyramid of Giza	Piramide di Cheope
Greece	Grecia
Greek	greco
Greenland	Groenlandia
Greenlandic	lingua groenlandese
Grenada	Grenada
Guadeloupe	Guadalupa
Guam	Guam
Guatemala	Guatemala
Guernsey	Guernsey
Guinea	Guinea
Guinea-Bissau	Guinea Bissau
Gujarati	Gujarati
Gulf of Bothnia	Golfo di Botnia
Gulf of Finland	Golfo di Finlandia
Gulf of Riga	Golfo di Riga
Guyana	Guayana
Haiti	Haiti
Hanukkah	Chanukah
Happy Easter	buona Pasqua
Happy New Year	felice anno nuovo
Havana	L'Avana
Hawaii	le Hawaii ''f pl''
Hebrew	ebraico
Hebrew	ebreo
Hegira	egira
Helen	Elena
Henry	Enrico
Herman	Ermanno
Herodotus	Erodoto
Hesiod	Esiodo
Hezbollah	Hezbollah
Hijra	egira
Hippocrates	Ippocrate
Holland	Olanda
Holy Roman Empire	Sacro Romano Impero
Honduras	Honduras
Hong Kong	Hong Kong
How old are you?	quanti anni hai
Hubble constant	legge di Hubble
Human Resource Management	Amministrazione delle risorse umane
Hungarian	ungherese
Hungarian notation	notazione ungara
Hungary	Ungheria
I	io
I don't know	non lo so
I don't understand	non capisco
I love you	Ti amo
I love you	Ti voglio bene
I think so	penso di sì
I'm fine, thank you	sto bene, grazie
I'm in love with you	Sono innamorato di te
Iceland	Islanda
Icelandic	islandese
India	India
Indian	indiano
Indonesia	Indonesia
Interlingua	interlingua
International Phonetic Alphabet	alfabeto fonetico internazionale
Internet	Internet
Ionian Sea	Mar Ionio
Iran	Iran
Iraq	Iraq
Iraqi	iracheno
Ireland	Irlanda
Irene	Irene
Irish	irlandese
Iron Age	età del ferro
Is it going to rain?	pioverà
Isaac	Isacco, Sacco
Ishmael	Ismaele
Islamic	islamico
Isle of Man	Isola di Man
Israel	Israele
Istanbul	Istambul
Italian	italiano
Italy	Italia
Ivory Coast	Costa d'Avorio
Ixion	Issione
Ixion	28978 Issione
Jacob	Giacobbe
Jamaica	Giamaica
James	Giacomo
Jane	Giovanna
January	gennaio
Janus	Giano?
Japan	Giappone
Japanese	giapponese
Jehovah	Geova
Jehovah's Witnesses	Testimoni di Geova
Jehovah's Witnesses	Testimone di Geova
Jerusalem	Gerusalemme
Jesus	Gesù
Jesus Christ	Gesù Cristo
Jew	ebreo
Jew's harp	scacciapensieri
Jewess	ebrea
Jewish	ebreo
Joachim	Gioacchino
John	Giovanni
Jordan	Giordania
Jordan	Giordano
Joseph	Giuseppe
Judaism	judaisimo
Julia	Giulia
Juliet	Giulietta
July	luglio
June	giugno
Jupiter	Giove
Justin	Giustino
Kali	Kali
Karachi	Karachi
Karlovac	Karlovac
Kashubian	casciubico
Kazakhstan	Kazakistan
Kenya	Kenya
Khartoum	Khartum
Khrushchev	Chruščëv
Kiev	Kijev
Kiribati	Kiribati
Klingon	klingon
Kohtla-Järve	Kohtla-Järve
Korea	Corea
Korean	coreano
Kosovo	Kosovo, Kossovo
Kurdish	curdo
Kurdistan	Curdistan
Kuwait	il Kuwait
Kyoto	Kyoto
Kyrgyzstan	Kirghizistan
Lao	laotiano
Laos	Laos
Laotian	laotiano
Latin	latino
Latin	romano
Latin	sudamericano
Latin	laziale
Latin	neolatino
Latin alphabet	alfabeto latino
Latvia	Lettonia
Laura	Laura
Laurence	Lorenzo
Lebanon	(il) Libano
Leo	Leone
Lesotho	Lesotho
Liberia	Liberia
Libra	Bilancia
Libya	Libia
Liechtenstein	Liechtenstein
Lisbon	Lisbona
Lithuania	Lituania
Little Red Riding Hood	Cappuccetto Rosso
Livonian	Livone
Lombardy	Lombardia
London	Londra
London	londinese
Louis	Luigi
Lucian	Luciano
Luke	Luca
Luxembourg	Lussemburgo
Macedonia	Macedonia
Macedonian	macedoniana
Madagascar	Madagascar
Madrid	Madrid
Majorca	Maiorca
Malawi	Malawi
Malaysia	Malesia
Maldives	Maldive
Mali	Mali
Malta	Malta
Man	uomo
Mandarin	mandarino
Manila hemp	canapa di Manila
Manitoba	Manitoba
March	marzo
Margaret	Margherita
Mark	Marco
Mars	Marte
Marshall Islands	Isole Marshall
Martha	Marta
Martian	marziano
Martin	Martino
Martinique	Martinica
Mary	Maria
Matthew	Matteo
Mauritania	Mauritania
Mauritius	Maurizio
May	maggio
Mayotte	Mayotte
McDonald's	McDonald’s
Mecca	La Mecca
Mediterranean Sea	Mar Mediterraneo
Mercury	(il pianeta
Mercury	Mercurio
Merry Christmas	Buon Natale
Merry Christmas and a Happy New Year!	Buon Natale e felice Anno Nuovo
Mesolithic	Mesolitico
Meuse	Mosa
Mexico	Messico
Mexico City	Città del Messico
Micah	Michea
Michael	Michele
Mickey Mouse	Topolino
Micronesia	Micronesia
Middle Ages	Medioevo
Middle East	Medio Oriente
Milan	Milano
Milky Way	la Via Lattea
Mirandese	lingua mirandese
Miriam	Miriam
Miss	Signorina
Mississippi	Mississippi
Missouri	Missouri
Moksha	moksha, moxel
Moldova	Moldavia
Monaco	Monaco
Monday	lunedì
Mongolia	Mongolia
Mongolian	mongolo
Mongolian	mongolico
Montevideo	Montevideo
Moon	luna
Morocco	Marocco
Moscow	Mosca
Moses	Mosè
Mount Everest	l’Everest
Mozambique	Mozambico
Mr	Sig
Mrs	Sig.ra
Muggle	Babbano
Munich	Monaco
Muntenia	Muntenia
Muse	Musa, musa
Muslim	musulmano
Myanmar	Myanmar
Möbius strip	nastro di Möbius
NATO	N.A.T.O.
Nagykanizsa	Nagykanizsa
Nahuatl	Nahuatl
Namibia	Namibia
Naples	Napoli
Nauru	Nauru
Naypyidaw	Naypyidaw
Nenets	lingua
Neolithic	Neolitico
Nepal	Nepal
Neptune	Nettuno
Netherlands	Paesi Bassi
Netherlands	olandese
New Guinea	Nuova Guinea
New South Wales	Nuovo Galles del Sud
New Testament	Nuovo Testamento
New Year	anno nuovo
New Year's Day	capodanno
New York	New York
New York	stato
New York City	Nuova York
New Zealand	Nuova Zelanda
Nicaragua	Nicaragua
Nicholas	Nicola
Niger	Niger
Nigeria	Nigeria
Nike	Nike
Nile	Nilo
Niue	Niue
Noah	Noè
Norfolk Island	Isola Norfolk
North America	America del Nord
North Korea	Corea del Nord
North Sea	Mar del Nord
Northern Europe	Europa settentrionale
Northern Territory	Territorio del Nord
Norway	Norvegia
Norwegian	norvegese
November	novembre
Nyx	Notte
Occam's razor	rasoio di Occam
Occitan	occitano
Oceania	Oceania
October	ottobre
Odyssey	Odissea
Old Church Slavonic	antico slavo ecclesiastico
Oltenia	Oltenia
Olympic Games	Giochi Olimpici
Olympic Winter Games	Olimpiadi invernali
Oman	Oman
Orinoco	Orinoco
Orion	Orion
Ouagadougou	Ouagadougou
Our Lady	Nostra Signora
Oxford	Oxford
Pakistan	Pakistan
Palau	Palau
Paleolithic	Paleolitico
Palestine	Palestina
Panama	Panama
Pangaea	Pangea
Papua New Guinea	Papua Nuova Guinea
Paraguay	Paraguay
Paris	Parigi
Paris	Paride
Parkinson's disease	Malattia del Parkinson
Paul	Paolo
Pericles	Pericle
Persia	Persia
Persian	persiano
Peru	Perù
Philip	Filippo
Philippines	Filippine
Pisces	Pesci
Planck's constant	costante di Planck
Planet X	pianeta X
Plutarch	Plutarco
Pluto	Plutone
Poland	Polonia
Pole	polacco
Polish	polacco
Popemobile	papamobile
Portugal	Portogallo
Portuguese	portoghese
Prague	Praga
Protestant	protestante
Proto-Germanic	proto-germanica
Proto-Indo-European	indoeuropeo
Prussia	Prussia
Puerto Rico	Porto Rico
Punjabi	punjabi
Pythagoras	Pitagora
QED	C.V.D.
Qatar	Qatar
Quaker	quacchero
Quechua	lingua quechua
Qur'an	corano
Rachel	Rachele
Red Sea	Mar Rosso
Republic of Korea	Repubblica di Corea
Rhine	Reno
Richard	Riccardo
Robert	Roberto
Roman	romano
Roman Empire	Impero romano
Romanian	romeno
Rome	Roma
Rome wasn't built in a day	Roma non fu fatta in un giorno
Rosetta Stone	Stele di Rosetta
Roxanne	Rossane
Russia	Russia
Russian	russo
Russian Federation	Russia
Rwanda	Ruanda
Saami	sami
Sagittarius	Sagittario
Saint Kitts and Nevis	Saint Christopher e Nevis
Saint Lucia	Saint Lucia
Saint Vincent and the Grenadines	Saint Vincent e Grenadine
Sami	sami
Samoa	Samoa
Samosata	Samosata
Samuel	Samuele
San Marino	San Marino
Sanskrit	sanscrito
Santa Claus	Babbo Natale
Sarah	Sara
Sarajevo	Sarajevo
Sardinia	Sardegna
Satan	Satana
Saturday	sabato
Saturn	Saturno
Saudi Arabia	Arabia Saudita
Scandinavia	Scandinavia
Schrödinger's cat	paradosso del gatto di Schrödinger
Scorpius	Scorpione
Scot	scozzese
Scotland	Scozia
Senegal	Senegal
Seoul	Seul
September	settembre
Septuagint	Septuaginta
Serbia and Montenegro	Serbia e Montenegro
Serbian	serbo
Seville	Siviglia
Seychelles	Seicelle
Shanghai	Shanghai
Sherlock Holmes	Sherlock Holmes
Siberia	Siberia
Sicily	Sicilia
Sierra Leone	Sierra Leone
Singapore	Singapore
Sleeping Beauty	La Bella addormentata
Slovak	slovacco
Slovakia	Slovacchia
Slovene	sloveno
Slovenia	Slovenia
Slovenian	sloveno
Snow White	Biancaneve
Sofia	'''Sofia'''
Solomon Islands	Isole Salomone
Somalia	Somalia
Sophia	Sofia
Sorbian	sorbico
South Africa	Sudafrica
South America	Sudamerica
South Korea	Corea del Sud
South Pole	polo sud
Southern Europe	Europa meridionale
Soviet Union	Unione Sovietica
Spain	Spagna
Spaniard	spagnolo
Spanish	spagnolo
Spanish	gli spagnolo
Sphinx	Sfinge
Spider-Man	Uomo Ragno
Sri Lanka	Sri Lanka
Stephen	Stefano
Stone Age	Età della pietra
Sudan	Sudan
Sudeten	Sudeti
Suez Canal	Canale di Suez
Sumerian	lingua sumera
Sun	sole
Sunday	domenica
Supreme Leader	Guida suprema
Suriname	Suriname
Svalbard	Svalbard
Svalbard and Jan Mayen Islands	Svalbard e Jan Mayen
Swaziland	Swaziland
Sweden	Svezia
Swedish	svedese
Switzerland	Svizzera
Sydney	Sydney
Syria	Siria
T-shirt	maglietta
TV	TV
Taiwan	Taiwan
Taiwanese	taiwanese
Tajik	lingua tagica
Tajikistan	Tagikistan
Tanzania	Tanzania
Tasmania	la Tasmania
Taurus	Toro
Tehran	Teheran
Template:center-centre-noun	centro
Template:color-colour (verb)	colorare
Template:color-colour (verb)	arrossire
Template:mirror/Translations	specchio
Template:program-programme-noun	programma
Ten Commandments	dieci comandamenti
Teresa	Teresa
Tetris	Tetris
Teutonic Knights	Cavalieri Teutonici or Ordine Teutonico
Thai	tailandese
Thailand	Thailandia
Thames	Tamigi
The Hague	L'Aia
Thomas	Tommaso
Thursday	giovedì
Tibet	Tibet
Timişoara	Timişoara
Tirana	Tirana
Togo	Togo
Tokelau	Tokelau
Tokyo	Tokyo
Tonga	Tonga
Transnistria	Transnistria
Transylvania	Transilvania
Trinidad and Tobago	Trinidad e Tobago
Tuesday	martedì
Tunisia	Tunisia
Turkey	Turchia
Turkish	turco
Turkmenistan	Turkmenistan
Tuvalu	Tuvalu
Tyre	Tiro
UFO	UFO
USA	U.S.A.
Uganda	Uganda
Ukraine	Ucraina
Ukrainian	ucraino
Ulrica	Ulrica
United Arab Emirates	Emirati Arabi Uniti
United Kingdom	Regno Unito
United Nations	Nazioni Unite
United States of America	Stati Uniti d'America
Uruguay	Uruguay
Uzbekistan	Uzbekistan
VAT	IVA
Vanuatu	Vanuatu
Vatican City	Stato della Città del Vaticano
Venezuela	Venezuela
Venice	Venezia
Venus	Venere
Vietnam	Vietnam
Vietnamese	vietnamita
Vincent	Vicenzo, Vincente
Virgin Mary	Vergine Maria
Virgo	Vergine
Votic	voto
Vulgar Latin	latino volgare
Wales	Galles
Wallachia	Valacchia
Warsaw	Varsavia
Wednesday	mercoledì
Western Europe	Europa occidentale
Western Sahara	Sahara Occidentale
Wheel of Fortune	La Ruota Della Fortuna
White House	Casa Bianca
Wikimedia Foundation	Wikimedia Foundation
Wikipedia	Wikipedia
Wiktionary	Wikizionario
Wiktionary:Votes/2007-10/Lemma entries/words	parole
William	Guglielmo
World War I	Prima guerra mondiale
World War II	Seconda guerra mondiale
X-ray	radiografia
Xhosa	lingua xhosa
Yellow Sea	Mar Giallo
Yemen	Yemen
Yiddish	yiddish
Young's modulus	modulo di Young
Yugoslavia	Jugoslavia
Zagreb	Zagabria
Zambia	Zambia
Zimbabwe	Zimbabwe
Zoroastrianism	Zoroastrismo
Zürich	(2): Zurigo
a little	un poco
aardvark	oritteropo
abaca	abaca
abandoned	abbandonato
abbey	abbazia
abbreviated	abbreviato
abdication	abdicazione
abdomen	addome
abessive case	caso abessivo
ability	abilità
ablative case	ablativo
abolish	abolire
abominate	abominare
abortion	aborto
abrupt	brusco
abscess	ascesso
absent	assente
absinthe	assenzio
absolute	assoluto
absolute zero	zero assoluto
absolutive case	caso assolutivo
absolve	assolvere
absorb	assorbire
absorb	assorto
absorption	assorbimento
abstention	astensione
abstract	estratto
abstract	astratto
absurd	assurdo
abundance	abbondanza
abundant	abbondante
abuse	abuso
abuse	abusare
abuse	abuso sessuale
accelerate	accelerare
accelerate	affrettare
acceleration	accelerazione
accept	accettare
acceptable	accettabile
acceptance	accettazione
access	accesso
accidentally	casualmente
according to	secondo
according to	a seconda
accordion	fisarmonica
accumulate	accumularsi
accumulator	accumulatore
accuracy	esattezza
accusative	accusativo
accusative case	accusativo
accusatory	accusatorio
accuse	accusare
ace	asso
acetate	acetato
acetylene	acetilene
ache	dolore
acid	acido
acid rain	pioggia acida
acorn	ghianda
acquired immune deficiency syndrome	sindrome da immunodeficienza acquisita
acromegaly	acromegalia
acronym	acronimo
act	atto
act	agire
act	legge
actinium	attinio
action	azione
activate	attivare
activity	attività
actor	attore
actress	attrice
actual	reale
actual	esistente
actually	realmente
acupuncture	agopuntura
ad hoc	ad hoc
addition	addizione
address	indirizzo
adequate	adeguato
adjective	aggettivo
adjective	aggettivale
adjustment	adattamento
administrator	amministratore
admiration	ammirazione
adult	adulto
adultery	adulterio
adventure	avventura
adverb	avverbio
advertisement	annuncio
advice	consiglio
advocate	avvocato
aeroplane	aereo
aesthetics	estetica
aetiology	eziologia
after	seguente
after	dietro
afternoon	pomeriggio
again	di nuovo
against	contro
age	età
age	generazione
age	epoca
aggressive	aggressivo
agnosticism	agnosticismo
ago	fa
agoraphobia	agorafobia
agree	concordare
agreement	accordo
agreement	consenso
agriculture	agricoltura
aid	aiutare
air	aria
air	aerare
