# English-Russian translations created from the Universal dictionary at 2011-04-05T14:49:10-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 April ; Apr 	 апрель 	 time 
 China ; People's Republic of China ; mainland China ; Communist China ; Red China ; PRC ; Cathay 	 китай 	 country 
 Chinese 	 китайский язык 	 language 
 Czech Republic 	 Чехия ; Чешская Республика 	 country 
 December ; Dec 	 декабрь 	 time 
 Earth ; earth ; world ; globe 	 Земля 	 nature 
 English ; English language 	 английский язык 	 language 
 February ; Feb 	 февраль 	 time 
 France ; French Republic 	 Франция 	 country 
 French 	 францьзскый язык 	 language 
 Friday ; Fri 	 пятница 	 time 
 German ; High German ; German language 	 немецкий язык 	 linguistics 
 Germany ; Federal Republic of Germany ; Deutschland ; FRG 	 Германия 	 country 
 Hindi 	 хинди 	 language 
 India ; Republic of India ; Bharat 	 Индия 	 country 
 Italian 	 итальянский язык 	 language 
 Italy ; Italian Republic ; Italia 	 Италия 	 country 
 January ; Jan 	 январь 	 time 
 Japan ; Nippon ; Nihon 	 Япония 	 country 
 Japanese 	 японский язык 	 language 
 July 	 июль 	 time 
 June 	 июнь 	 time 
 Monday ; Mon 	 понедельник 	 time 
 Moon ; moon 	 месяц 	 nature 
 November ; Nov 	 ноябрь 	 time 
 October ; Oct 	 октябрь 	 time 
 Russian 	 русский язык 	 language 
 Saturday ; Sabbatum ; Sat 	 суббота 	 time 
 Spain ; Kingdom of Spain ; Espana 	 Испания 	 country 
 Spanish 	 испанский язык 	 language 
 Sunday ; Lord's Day ; Dominicus ; Sun 	 воскресенье 	 time 
 Thursday ; Th 	 четверг 	 time 
 United Kingdom ; UK ; U.K. ; Britain ; United Kingdom of Great Britain and Northern Ireland ; Great Britain 	 Англия ; Великобритания 	 country 
 United States ; United States of America ; America ; the States ; US ; U.S. ; USA ; U.S.A. 	 США ; Соединенные Штаты Америки 	 country 
 Wednesday ; Midweek ; Wed 	 среда 	 time 
 ability ; power 	 способность 	 abstract 
 able 	 способный 	 adjective 
 about ; almost ; most ; nearly ; near ; nigh ; virtually ; well-nigh 	 почти 	 adverb 
 about ; around 	 кругом ; вокруг 	 adverb 
 above ; higher up ; in a higher place ; to a higher place 	 над 	 adverb 
 abrupt ; precipitous ; sharp 	 крутой 	 adjective 
 accept ; take ; have 	 принять 	 verb 
 accident 	 несчастный случай ; авария 	 transport 
 account ; business relationship 	 счёт 	 business 
 achieve ; accomplish ; attain ; reach 	 достигать 	 verb 
 acid 	 кислота 	 material 
 acid 	 кислый 	 adjective 
 acme ; height ; elevation ; peak ; pinnacle ; summit ; superlative ; meridian ; tiptop ; top 	 верхушка 	 abstract 
 across 	 поперёк 	 adverb 
 across ; crosswise ; crossways 	 скворзь 	 adverb 
 act ; deed ; human action ; human activity 	 дело 	 abstract 
 act ; move 	 действовать 	 verb 
 action 	 поступок ; действие 	 mathematics 
 action 	 поступок ; действие 	 mathematics 
 action ; activity ; activeness 	 деятельность 	 mathematics 
 actor ; histrion ; player ; thespian ; role player 	 актёр 	 profession 
 actress 	 актриса 	 profession 
 actually ; really 	 действительно 	 adverb 
 acuate ; acute ; sharp ; needlelike 	 острый 	 adjective 
 ad ; advertisement ; advertizement ; advertising ; advertizing ; advert 	 пропаганда ; реклама ; объявление 	 business 
 add 	 придать 	 verb 
 add ; add together 	 сосчитать 	 verb 
 addition ; add-on ; improver 	 дополнение 	 abstract 
 address 	 адрес 	 abstract 
 adept ; expert ; good ; practiced ; proficient ; skillful ; skilful 	 опытный 	 adjective 
 adjacent ; next ; side by side 	 соседний 	 adjective 
 adjective 	 имя прилагательное 	 linguistics 
 admit ; acknowledge 	 припустить ; признать 	 verb 
 advantage ; reward 	 польза 	 abstract 
 advantage ; vantage 	 преимущество 	 abstract 
 advice 	 совет 	 communication 
 affect ; impact ; bear upon ; bear on ; touch on ; touch 	 поблиять 	 verb 
 after 	 после ; потом 	 adjective 
 afternoon 	 время после полудня 	 time 
 again ; once again ; once more ; over again 	 опять 	 adverb 
 against 	 против 	 preposition 
 age 	 возраст 	 time 
 ago ; agone 	 перед 	 adjective 
 agree ; hold ; concur ; concord 	 согласиться 	 verb 
 agreement ; understanding 	 соглашение ; договор ;контракт ; урегулирование 	 business 
 ahead ; in front ; before 	 впереди 	 adverb 
 aid ; assist ; assistance ; help 	 помощь ; содействие 	 communication 
 air 	 воздух 	 nature 
 airheaded ; dizzy ; empty-headed ; featherbrained ; giddy ; light-headed ; lightheaded ; silly 	 глупый 	 adjective 
 airplane ; aeroplane ; plane 	 самолёт 	 object 
